file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01,3.7591776702771176,3.6381135850017694,2.7829889238867658
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01,1.8198287884245905,1.8146362288609825,0.7738060544123577
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01,32.89002094897759,33.346529857597844,141.2192393951528
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01,16.685526769854697,16.94741500058447,39.67326358864391
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01,4.029346396063505,4.126313481431243,1.5444016581479472
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01,0.6148683474244863,0.6754277156930686,0.15051390681904087
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01,41.76834507188656,44.16249429364825,421.947500656342
OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN,14/06/2022,15:08:53,v01,m01,10.002587473076195,12.05753694215822,28.378183580338284
T2m3ws-20210914.110126-0157.p12_SN,20/11/2021,10:57:42,v01,m01,5.862775367728765,5.800229293474775,4.838430930653121
T2m3ws-20220919.091424-0028.p12_SN,20/09/2022,04:56:06,v01,m01,13.122579725852544,13.864687667221606,34.49840436991335
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN,16/06/2022,14:56:54,v01,m01,5.811241911315087,6.3205326561900215,5.135730947770601
T2m3ws-20210914.143914-0180.p12_SN,20/11/2021,13:17:59,v01,m01,10.545456514554369,10.767125999427064,23.7893510844305
T2m3ws-20210915.185046-0379.p12_SN,10/10/2021,01:26:05,v01,m01,2.789503449583525,2.853417402186245,1.987888100914604
T2m3ws-20211114.131522-0056.p12_SN,15/11/2021,11:46:52,v01,m01,54.17950388248673,55.30771874341792,693.0494105130227
T2m3ws-20220917.182413-0251.p12_SN,18/09/2022,08:16:42,v01,m01,15.365390010876723,17.262371913464225,62.07087368892
T2m3ws-20211114.114217-0053.p12_SN,15/11/2021,11:42:55,v01,m01,2.2445353607013385,2.2160418739552368,0.969933714130783
T2m3ws-20211214.124728-0063.p12_SN,16/12/2021,00:12:49,v01,m01,7.0761179517352,7.368711931999096,18.308838153721798
T2m3ws-20220817.153815-0038.p12_SN,18/08/2022,03:49:29,v01,m01,7.413134453244722,7.579275511393756,9.308848895977578
T2m3ws-20220913.153839-0158.p12_SN,14/09/2022,03:51:38,v01,m01,3.7085550145782005,3.452980109342722,4.935373827599264
T2m3ws-20210922.150706-0003.p12_SN,20/11/2021,08:47:57,v01,m01,3.5038232614272466,3.807944669807843,1.0392227471748465
T2m3ws-20211115.111210-0063.p12_SN,16/11/2021,06:01:10,v01,m01,1.6658184293050058,1.7677101835571338,0.32039071204767244
T2m3ws-20220807.104858-0027.p12_SN,09/08/2022,11:25:21,v01,m01,0.47314517611288764,0.5680399735517698,0.16581723321781103
T2m3ws-20210922.174228-0010.p12_SN,20/11/2021,12:37:36,v01,m01,20.999188268361134,21.675661704708215,53.45279762896968
T2m3ws-20211220.130256-0059.p12_SN,21/12/2021,06:50:19,v01,m01,31.410905804934547,33.26455611840138,205.87392899086836
T2m3ws-20220715.161805-0150.p12_SN,16/07/2022,05:01:41,v01,m01,16.765615428719908,17.05224227268606,44.57432518368515
T2m3ws-20210914.162000-0184.p12_SN,20/11/2021,11:57:30,v01,m01,3.8012921275378107,4.1525221057931345,2.0990861686658233
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN,18/06/2022,08:06:01,v01,m01,3.7104998009935635,4.253941892043297,3.0782096403518597
T2m3ws-20220426.103050-0024.p12_SN,05/05/2022,08:28:48,v01,m01,7.00635949501393,6.468150053491332,11.298087615145711
T2m3ws-20220817.165359-0041.p12_SN,18/08/2022,04:17:49,v01,m01,4.511471758652245,5.35769879174743,5.927152668724622
T2m3ws-20220912.134431-0062.p12_SN,13/09/2022,04:00:29,v01,m01,13.042095388544054,13.204015513117056,23.90921515866696
OBK-93376-WiFeS-Splice-UT20221013T122240-8.p12_SN,22/10/2022,07:16:35,v01,m01,3.753256522141861,3.7906158824998695,2.018972789510609
T2m3ws-20210926.161749-0076.p12_SN,20/11/2021,09:03:40,v01,m01,12.803092346682472,12.984525877247867,33.47579559432764
T2m3ws-20211211.122308-0068.p12_SN,15/12/2021,09:19:18,v01,m01,17.089241083056848,16.460625514050896,65.077631716604
T2m3ws-20210926.145254-0073.p12_SN,20/11/2021,07:14:30,v01,m01,12.371675280094866,12.01734538659947,24.008752582897532
T2m3ws-20210919.181217-0138.p12_SN,18/10/2021,02:40:06,v01,m01,10.900318673681603,11.608387390796702,6.317457440205486
