file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01,3.7338911830234864,3.5631398275536688,2.846114642724977
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01,1.7985265128273196,1.7827919409941402,0.8035887710551489
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01,32.71056307793275,33.50332100668617,146.83932073976123
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01,16.598243360780735,17.328358418160136,41.02990427852656
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01,4.007966875334287,4.1186882615279945,1.6347440026087032
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01,0.6102505429573292,0.6474765466672077,0.14418476891008722
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01,41.44599394570293,43.493688090743944,430.37714911424024
OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN,14/06/2022,15:08:53,v01,m01,9.926947567178466,12.102905452530365,28.855195173461187
T2m3ws-20210914.110126-0157.p12_SN,20/11/2021,10:57:42,v01,m01,5.828662970388996,5.8316668324700665,5.015147935203396
T2m3ws-20220919.091424-0028.p12_SN,20/09/2022,04:56:06,v01,m01,13.086691375081484,13.3673842955872,35.01994230447437
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN,16/06/2022,14:56:54,v01,m01,5.792986445907432,6.30949090249416,5.265986535200851
T2m3ws-20210914.143914-0180.p12_SN,20/11/2021,13:17:59,v01,m01,10.468185146045105,10.409214939665441,24.38101414851149
T2m3ws-20210915.185046-0379.p12_SN,10/10/2021,01:26:05,v01,m01,2.7780166345699575,2.8688189178103647,2.0262388323984317
T2m3ws-20211114.131522-0056.p12_SN,15/11/2021,11:46:52,v01,m01,53.928993222927716,56.20298445139592,709.827682040304
T2m3ws-20220917.182413-0251.p12_SN,18/09/2022,08:16:42,v01,m01,15.224971273096036,16.71076017640267,62.64819326755583
T2m3ws-20211114.114217-0053.p12_SN,15/11/2021,11:42:55,v01,m01,2.233704221146899,2.1501556530389436,1.0006608565989967
T2m3ws-20211214.124728-0063.p12_SN,16/12/2021,00:12:49,v01,m01,7.055201943037706,7.579031701191787,18.516669462242003
T2m3ws-20220817.153815-0038.p12_SN,18/08/2022,03:49:29,v01,m01,7.3622099129935545,7.549007113650892,9.66755631099625
T2m3ws-20220913.153839-0158.p12_SN,14/09/2022,03:51:38,v01,m01,3.683824224512238,3.4091826403370034,5.077072516848243
T2m3ws-20210922.150706-0003.p12_SN,20/11/2021,08:47:57,v01,m01,3.4920324580544397,3.8328914798671954,1.0808896878071041
T2m3ws-20211115.111210-0063.p12_SN,16/11/2021,06:01:10,v01,m01,1.6557598780959615,1.7374633795391365,0.33136800714727216
T2m3ws-20220807.104858-0027.p12_SN,09/08/2022,11:25:21,v01,m01,0.4706355375331328,0.5632425365916078,0.1671210848206012
T2m3ws-20210922.174228-0010.p12_SN,20/11/2021,12:37:36,v01,m01,20.865968467072268,21.57353947811417,56.01869334011746
T2m3ws-20211220.130256-0059.p12_SN,21/12/2021,06:50:19,v01,m01,31.18791641057474,33.28736751698427,211.6476169590014
T2m3ws-20220715.161805-0150.p12_SN,16/07/2022,05:01:41,v01,m01,16.635339101161243,17.00513246909208,45.81810152142664
T2m3ws-20210914.162000-0184.p12_SN,20/11/2021,11:57:30,v01,m01,3.7864928882283646,4.175898289450151,2.1629017578359617
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN,18/06/2022,08:06:01,v01,m01,3.6858175407379195,4.174201952908839,3.1198457677935942
T2m3ws-20220426.103050-0024.p12_SN,05/05/2022,08:28:48,v01,m01,6.968450860336223,6.432710140196753,11.360702989884793
T2m3ws-20220817.165359-0041.p12_SN,18/08/2022,04:17:49,v01,m01,4.474100576046373,5.295840567370494,5.998302846558691
T2m3ws-20220912.134431-0062.p12_SN,13/09/2022,04:00:29,v01,m01,12.964433804613233,13.258952018164301,24.963653927602284
OBK-93376-WiFeS-Splice-UT20221013T122240-8.p12_SN,22/10/2022,07:16:35,v01,m01,3.7337358210029232,3.7919824842597065,2.1114280315529017
T2m3ws-20210926.161749-0076.p12_SN,20/11/2021,09:03:40,v01,m01,12.715034072732035,13.084692501471956,34.38487700762246
T2m3ws-20211211.122308-0068.p12_SN,15/12/2021,09:19:18,v01,m01,17.01428979737891,16.26005795337719,65.04238972087738
T2m3ws-20210926.145254-0073.p12_SN,20/11/2021,07:14:30,v01,m01,12.313244397996689,11.977002776744694,24.700166386446053
T2m3ws-20210919.181217-0138.p12_SN,18/10/2021,02:40:06,v01,m01,10.816444675584235,11.515928320114924,6.761341916279657
