Wavelength,Flux,Error
3799.90,1.9242e+01,3.3022e+00
3800.68,1.1907e+01,3.3006e+00
3801.45,4.3753e+00,3.2908e+00
3802.23,2.1282e+00,3.2838e+00
3803.00,5.3442e+00,3.2579e+00
3803.78,3.5202e+00,3.2449e+00
3804.55,3.6484e+00,3.2284e+00
3805.33,4.0657e+00,3.2187e+00
3806.10,-7.8231e-02,3.1987e+00
3806.88,6.7881e+00,3.1700e+00
3807.65,1.7097e+01,3.1472e+00
3808.43,1.3182e+01,3.1691e+00
3809.20,8.7361e+00,3.1481e+00
3809.98,2.1170e+00,3.1266e+00
3810.75,1.6820e+00,3.1284e+00
3811.53,7.2261e+00,3.1410e+00
3812.30,1.8539e+01,3.1543e+00
3813.08,5.0426e+00,3.1494e+00
3813.85,9.2711e+00,3.1180e+00
3814.63,2.7035e+00,3.1043e+00
3815.40,1.2979e+00,3.0860e+00
3816.18,1.2907e+01,3.1378e+00
3816.95,1.2768e+01,3.1827e+00
3817.73,3.1345e+00,3.2394e+00
3818.50,2.5648e+00,3.2958e+00
3819.28,-6.4313e+00,3.2363e+00
3820.05,7.0439e+00,3.2075e+00
3820.83,1.0583e+01,3.0900e+00
3821.60,1.0193e+01,3.0449e+00
3822.38,5.9523e+00,3.0249e+00
3823.15,7.5930e+00,3.0122e+00
3823.93,1.8000e+00,2.9824e+00
3824.70,8.7362e+00,2.9854e+00
3825.48,1.2123e+01,2.9966e+00
3826.25,4.0259e+00,3.0004e+00
3827.03,1.0612e+01,2.9810e+00
3827.80,6.4666e+00,2.9660e+00
3828.58,3.8444e+00,2.9849e+00
3829.35,9.9518e+00,2.9721e+00
3830.13,1.2582e+01,2.9545e+00
3830.90,2.0103e+00,2.9636e+00
3831.68,5.7340e+00,2.9446e+00
3832.45,5.1703e+00,2.9049e+00
3833.23,6.7499e+00,2.8979e+00
3834.00,1.3671e+01,2.9021e+00
3834.78,9.2791e+00,2.9031e+00
3835.55,6.9152e+00,2.8932e+00
3836.33,2.9179e+00,2.8876e+00
3837.10,1.2122e+00,2.8932e+00
3837.88,1.1779e+01,2.8963e+00
3838.65,1.4033e+01,2.8766e+00
3839.43,2.2674e+00,2.8345e+00
3840.20,6.2190e+00,2.8249e+00
3840.98,1.9147e+00,2.8313e+00
3841.75,1.0104e+01,2.8250e+00
3842.53,1.9559e+01,2.8121e+00
3843.30,9.8221e+00,2.8033e+00
3844.08,1.1387e+01,2.7904e+00
3844.85,1.3583e+01,2.8020e+00
3845.63,-4.8048e-01,2.8187e+00
3846.40,1.4324e+00,2.8186e+00
3847.18,1.2034e+01,2.8319e+00
3847.95,1.0294e+01,2.8275e+00
3848.73,8.4779e+00,2.8098e+00
3849.50,4.3622e+00,2.8052e+00
3850.28,5.2641e+00,2.8017e+00
3851.05,2.1817e+01,2.7888e+00
3851.83,1.5204e+01,2.7874e+00
3852.60,1.5855e+01,2.7710e+00
3853.38,1.0771e+01,2.7744e+00
3854.15,6.3910e+00,2.7692e+00
3854.93,9.1352e+00,2.7503e+00
3855.70,1.6739e+01,2.7377e+00
3856.48,1.1965e+01,2.7405e+00
3857.25,9.9035e+00,2.7353e+00
