Wavelength,Flux,Error
3818.45,-9.6822e-01,2.3974e+00
3819.23,-3.1425e-01,2.3837e+00
3820.00,6.9515e-01,2.3565e+00
3820.78,3.2603e+00,2.3475e+00
3821.55,3.4908e+00,2.3449e+00
3822.33,2.0879e+00,2.3209e+00
3823.10,-9.3360e-01,2.3429e+00
3823.88,5.6646e-01,2.3330e+00
3824.65,5.5038e-01,2.2912e+00
3825.42,6.3359e+00,2.3337e+00
3826.20,1.8296e+00,2.3182e+00
3826.97,1.3144e+00,2.3141e+00
3827.75,3.2217e+00,2.3048e+00
3828.52,-1.0474e+00,2.2977e+00
3829.30,4.3997e+00,2.2747e+00
3830.07,1.2463e+00,2.2795e+00
3830.85,2.6275e+00,2.2586e+00
3831.62,2.2332e+00,2.2328e+00
3832.40,2.4117e+00,2.2308e+00
3833.17,4.0056e+00,2.2149e+00
3833.95,1.5037e+00,2.2329e+00
3834.72,2.1659e+00,2.2348e+00
3835.50,4.0041e+00,2.2191e+00
3836.27,-1.2988e-01,2.1903e+00
3837.05,4.6080e+00,2.1830e+00
3837.82,-3.9268e-01,2.1621e+00
3838.60,-1.5760e+00,2.1925e+00
3839.37,-9.3814e-01,2.2133e+00
3840.15,-2.7196e+00,2.2105e+00
3840.92,1.8417e+00,2.1874e+00
3841.70,2.7608e+00,2.1855e+00
3842.47,1.0174e+00,2.1924e+00
3843.25,-8.5300e-01,2.2007e+00
3844.02,2.3461e+00,2.2034e+00
3844.80,4.0762e+00,2.1829e+00
3845.57,1.6686e+00,2.2186e+00
3846.34,2.5639e+00,2.2162e+00
3847.12,-2.7856e+00,2.2087e+00
3847.89,3.7429e+00,2.1693e+00
3848.67,2.7889e+00,2.1686e+00
3849.44,3.9715e+00,2.1949e+00
3850.22,1.9126e+00,2.1751e+00
3850.99,1.9719e-01,2.2075e+00
3851.77,1.4661e+00,2.2016e+00
3852.54,1.6128e+00,2.1990e+00
3853.32,-1.0339e+00,2.2003e+00
3854.09,4.0884e+00,2.1853e+00
3854.87,2.1422e+00,2.1539e+00
3855.64,1.9556e+00,2.1241e+00
3856.42,3.9696e+00,2.1068e+00
3857.19,1.6672e+00,2.1110e+00
3857.97,2.3426e+00,2.1341e+00
3858.74,9.2594e-02,2.1336e+00
3859.52,1.0174e+00,2.1371e+00
3860.29,-1.2804e+00,2.1219e+00
3861.07,4.8247e+00,2.0710e+00
3861.84,4.5987e+00,2.0856e+00
3862.62,5.0104e-01,2.1056e+00
3863.39,6.2273e+00,2.1077e+00
3864.17,5.3191e+00,2.1757e+00
3864.94,3.6429e+00,2.2043e+00
3865.72,1.2057e+00,2.1272e+00
3866.49,-4.2157e-01,2.0735e+00
3867.27,2.0197e+00,2.0595e+00
3868.04,1.2324e+00,2.0554e+00
3868.81,2.3713e+00,2.0292e+00
3869.59,2.3023e+00,2.0320e+00
3870.36,8.6832e-01,2.0418e+00
3871.14,3.7798e+00,2.0336e+00
3871.91,1.3760e+00,2.0449e+00
3872.69,3.0540e+00,2.0152e+00
3873.46,2.9782e+00,2.0252e+00
3874.24,1.2904e+00,2.0401e+00
3875.01,3.3952e+00,2.0216e+00
3875.79,8.0102e-01,2.0158e+00
3876.56,4.6564e+00,2.0337e+00
3877.34,6.8028e-01,2.0315e+00
3878.11,1.7000e+00,1.9984e+00
3878.89,3.0612e+00,1.9902e+00
3879.66,1.0693e+00,1.9862e+00
3880.44,3.8999e+00,1.9773e+00
3881.21,2.6160e+00,1.9804e+00
3881.99,1.4611e+00,1.9816e+00
3882.76,2.1897e+00,1.9716e+00
3883.54,-4.1703e-01,1.9699e+00
3884.31,1.2900e-01,1.9898e+00
3885.09,6.4178e-01,1.9840e+00
3885.86,1.1621e+00,2.0146e+00
3886.64,-1.7979e+00,2.0443e+00
3887.41,1.0243e-01,2.0078e+00
3888.19,2.4649e+00,2.0276e+00
3888.96,2.4260e+00,2.0129e+00
3889.73,2.7811e+00,1.9980e+00
3890.51,6.9293e-01,1.9860e+00
3891.28,4.8563e+00,2.0295e+00
3892.06,1.7304e+00,2.0409e+00
3892.83,2.5578e+00,2.0337e+00
3893.61,5.1847e+00,2.0452e+00
3894.38,7.1938e-01,1.9513e+00
3895.16,2.6098e+00,1.9276e+00
3895.93,3.9462e+00,1.9004e+00
3896.71,3.2634e+00,1.8948e+00
3897.48,3.7428e+00,1.8996e+00
3898.26,2.1829e-01,1.9103e+00
3899.03,3.4524e+00,1.9038e+00
3899.81,2.0803e+00,1.9051e+00
3900.58,3.4693e+00,1.9155e+00
3901.36,4.7945e+00,1.9134e+00
3902.13,1.4909e+00,1.8933e+00
3902.91,3.2810e+00,1.8949e+00
3903.68,-1.8261e-01,1.8890e+00
3904.46,-4.8336e-01,1.8714e+00
3905.23,2.6948e+00,1.8688e+00
3906.01,9.9386e-01,1.8564e+00
3906.78,1.5686e+00,1.8276e+00
3907.56,3.7468e+00,1.8489e+00
3908.33,2.0873e+00,1.8566e+00
3909.11,1.4311e+00,1.8335e+00
3909.88,1.9876e+00,1.8335e+00
3910.66,2.3919e+00,1.8344e+00
3911.43,-5.0832e-01,1.8191e+00
3912.20,4.0053e+00,1.8116e+00
3912.98,2.3739e+00,1.8309e+00
3913.75,1.4939e+00,1.8227e+00
3914.53,4.7680e+00,1.8050e+00
3915.30,3.4733e+00,1.8089e+00
3916.08,4.1993e+00,1.8013e+00
3916.85,1.2015e+00,1.8186e+00
3917.63,3.8007e+00,1.8182e+00
3918.40,3.1628e+00,1.8026e+00
3919.18,2.7671e+00,1.8101e+00
3919.95,2.3900e+00,1.7908e+00
3920.73,7.1448e-01,1.7883e+00
3921.50,1.6685e+00,1.7869e+00
3922.28,4.2417e-01,1.7941e+00
3923.05,2.2772e+00,1.8062e+00
3923.83,1.5985e+00,1.8053e+00
3924.60,1.9427e+00,1.8029e+00
3925.38,-4.1074e-01,1.7704e+00
3926.15,2.4783e+00,1.7548e+00
3926.93,3.1018e+00,1.7882e+00
3927.70,2.6260e+00,1.7558e+00
3928.48,1.2833e-01,1.7741e+00
3929.25,4.1401e+00,1.7604e+00
3930.03,1.6806e+00,1.7626e+00
3930.80,3.0980e+00,1.7395e+00
3931.58,1.6543e+00,1.7268e+00
3932.35,1.1246e+00,1.7340e+00
3933.12,2.5906e+00,1.7469e+00
3933.90,2.4244e-01,1.7426e+00
3934.67,2.6648e+00,1.7342e+00
3935.45,4.1799e-01,1.7352e+00
3936.22,3.1570e-01,1.7221e+00
3937.00,4.2389e-01,1.7127e+00
3937.77,1.8196e+00,1.7233e+00
3938.55,3.4117e+00,1.7246e+00
3939.32,-7.7707e-01,1.7188e+00
3940.10,2.7591e+00,1.7268e+00
3940.87,2.3417e-01,1.7359e+00
3941.65,6.1550e-01,1.7505e+00
3942.42,3.9588e+00,1.7387e+00
3943.20,4.1047e+00,1.7192e+00
3943.97,3.4300e+00,1.7072e+00
3944.75,1.3678e+00,1.6942e+00
3945.52,4.1431e+00,1.6889e+00
3946.30,4.3386e+00,1.7214e+00
3947.07,1.3682e+00,1.7200e+00
3947.85,1.3980e+00,1.7046e+00
3948.62,2.0603e+00,1.7087e+00
3949.40,-2.7663e-02,1.6978e+00
3950.17,2.2124e+00,1.6850e+00
3950.95,1.9394e+00,1.6806e+00
3951.72,2.2111e+00,1.6864e+00
3952.50,2.2056e+00,1.6869e+00
3953.27,3.0749e+00,1.6829e+00
3954.05,-3.2836e-01,1.6842e+00
3954.82,-1.2012e-01,1.6833e+00
3955.59,6.8463e-01,1.6711e+00
3956.37,2.7446e+00,1.6704e+00
3957.14,1.1412e+00,1.6579e+00
3957.92,8.8800e-01,1.6636e+00
3958.69,3.2649e+00,1.6763e+00
3959.47,1.3119e+00,1.6513e+00
3960.24,-1.3943e-02,1.6528e+00
3961.02,1.2033e+00,1.6515e+00
3961.79,-2.0557e+00,1.6203e+00
3962.57,2.2819e+00,1.6607e+00
3963.34,1.4383e+00,1.6438e+00
3964.12,1.4514e+00,1.6501e+00
3964.89,2.6151e+00,1.6265e+00
3965.67,-9.7036e-02,1.6135e+00
3966.44,8.6698e-01,1.5933e+00
3967.22,5.9344e-01,1.5865e+00
3967.99,4.7620e-03,1.5966e+00
3968.77,-1.0313e+00,1.5897e+00
3969.54,-8.1808e-01,1.5965e+00
3970.32,-1.1824e-01,1.5838e+00
3971.09,1.3397e+00,1.5932e+00
3971.87,1.7985e+00,1.5990e+00
3972.64,-2.9180e-01,1.5996e+00
3973.42,7.2204e-01,1.6103e+00
3974.19,1.6367e+00,1.6030e+00
3974.97,1.1006e+00,1.5917e+00
3975.74,1.4749e+00,1.6005e+00
3976.51,7.0396e-01,1.5993e+00
3977.29,1.2117e+00,1.6021e+00
3978.06,2.1976e+00,1.6077e+00
3978.84,-3.8982e+00,1.6106e+00
3979.61,-8.6687e-01,1.6057e+00
3980.39,3.5859e-01,1.6024e+00
3981.16,3.0765e+00,1.6001e+00
3981.94,-1.8022e+00,1.5832e+00
3982.71,1.2699e-01,1.5568e+00
3983.49,1.8172e+00,1.5599e+00
3984.26,1.7879e+00,1.5464e+00
3985.04,1.1067e+00,1.5769e+00
3985.81,4.4064e-01,1.5690e+00
3986.59,3.1320e+00,1.5546e+00
3987.36,3.2031e+00,1.5378e+00
3988.14,-6.4449e-02,1.5578e+00
3988.91,1.1242e+00,1.5529e+00
3989.69,2.8009e+00,1.5377e+00
3990.46,3.9537e+00,1.5446e+00
3991.24,1.0480e+00,1.5409e+00
3992.01,2.5773e-01,1.5317e+00
3992.79,3.6995e+00,1.5319e+00
3993.56,3.1761e+00,1.5466e+00
3994.34,2.3143e+00,1.5452e+00
3995.11,-4.2234e-01,1.5332e+00
3995.89,9.1982e-01,1.5320e+00
3996.66,2.2789e-01,1.5271e+00
3997.44,3.8084e+00,1.5174e+00
3998.21,3.1296e+00,1.5182e+00
3998.98,1.7612e+00,1.5153e+00
3999.76,3.5513e+00,1.5188e+00
4000.53,-2.5697e-01,1.5158e+00
4001.31,3.5813e+00,1.5124e+00
4002.08,1.6013e+00,1.5290e+00
4002.86,-1.6798e-01,1.5241e+00
4003.63,2.4379e+00,1.5191e+00
4004.41,-1.4321e+00,1.4945e+00
4005.18,2.3321e+00,1.4987e+00
4005.96,-1.6592e+00,1.4801e+00
4006.73,2.4998e+00,1.4994e+00
4007.51,2.7840e+00,1.4860e+00
4008.28,6.9349e-02,1.4949e+00
4009.06,2.0393e+00,1.4946e+00
