no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
180,sn2005cf,Ia-norm,0.7473,7.51,0.0798,0.0076,-3.4,0,good
181,sn2005cf,Ia-norm,0.7459,7.51,0.0807,0.0077,-4.4,0,good
182,sn2005eq,Ia-91T,0.7432,7.48,0.0745,0.0079,1.3,0,good
183,sn2003it,Ia-norm,0.6986,7.48,0.0768,0.0066,2.7,0,good
184,sn1998co,Ia-norm,0.6986,7.48,0.0759,0.0066,0.0,0,good
185,sn2003it,Ia-norm,0.6986,7.48,0.0773,0.0066,1.7,0,good
186,sn2008ar,Ia-norm,0.7432,7.48,0.0736,0.0078,5.0,0,good
187,sn1994ae,Ia-norm,0.6999,7.47,0.0718,0.0072,5.0,0,good
188,sn2002dj,Ia-norm,0.7026,7.47,0.0945,0.0079,-10.4,0,good
189,sn2003it,Ia-norm,0.6972,7.46,0.0779,0.0066,0.8,0,good
190,sn2003ch,Ia-norm,0.6959,7.46,0.0711,0.0066,4.8,0,good
191,sn2003du,Ia-norm,0.7514,7.45,0.0804,0.0071,-8.1,0,good
192,sn2006S,Ia-norm,0.8326,7.45,0.0763,0.0068,4.1,0,good
193,sn1999ee,Ia-norm,0.9341,7.44,0.0773,0.0084,-0.2,0,good
194,sn2004eo,Ia-norm,0.8759,7.41,0.0704,0.0068,2.9,0,good
195,sn2004fu,Ia-norm,0.7446,7.41,0.0865,0.0079,-5.4,0,good
196,sn2006S,Ia-norm,0.7419,7.4,0.0829,0.008,-5.5,0,good
197,sn1999cp,Ia-norm,0.708,7.38,0.0821,0.0079,-13.8,0,good
198,sn2003du,Ia-norm,0.6986,7.36,0.0849,0.008,-12.7,0,good
199,sn2001eh,Ia-91T,0.6972,7.35,0.0772,0.0072,-0.1,0,good
200,sn2003U,Ia-norm,0.9368,7.34,0.0843,0.0086,-8.5,0,good
201,sn2007kk,Ia-norm,0.7473,7.34,0.0791,0.0086,3.2,0,good
202,sn2006oa,Ia-91T,0.7487,7.34,0.0849,0.0091,-8.5,0,good
203,sn2004fz,Ia-norm,0.7459,7.33,0.0746,0.0068,-6.8,0,good
204,sn2007co,Ia-norm,0.7473,7.31,0.0757,0.0076,4.6,0,good
205,sn2000cp,Ia-norm,0.6986,7.31,0.0749,0.0073,-0.5,0,good
206,sn2005el,Ia-norm,0.7392,7.31,0.0773,0.0073,-4.8,0,good
207,sn2005cf,Ia-norm,0.7405,7.31,0.0741,0.0073,3.5,0,good
208,sn2005cf,Ia-norm,0.7459,7.3,0.0804,0.008,-5.4,0,good
209,sn1999cl,Ia-norm,0.7094,7.29,0.0818,0.008,-3.3,0,good
210,sn1984A,Ia-norm,0.5334,7.29,0.09,0.0081,-2.8,0,good
211,sn1994ae,Ia-norm,0.7026,7.29,0.0722,0.0073,0.9,0,good
212,sn2004bg,Ia-norm,0.6931,7.28,0.0738,0.0068,5.7,0,good
