SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sb,super_chandra/2007if/SNIFS phase-band : -3.5B,2.077657,0.13843699,0.012,2.0,-3.5,B,0.82897145,0.17102857,23.35558,0.042854276
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ic-BL/2018gep/FLOYDS-N phase-band : 4.24V,2.0430632,0.015274848,0.076,2.0,4.24,V,0.9816997,0.018300284,22.847868,0.043028
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II-flash/2013fs_early/ALFOSC phase-band : -3.81B,0.77518904,0.09912907,0.12,0.0,-3.81,B,0.94166297,0.05833705,21.863176,0.04303775
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB5,SLSN-I/PTF10bfz/ISIS phase-band : -2.0B,2.619432,0.01218154,0.056,2.0,-2.0,B,0.983888,0.016112013,21.682545,0.04310645
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : -18.39B,0.59045494,0.1061758,0.15,-0.6,-18.39,B,0.9513488,0.048651192,21.983273,0.04353123
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.12744938,0.712764,0.022,-1.6,9.91,B,0.46389046,0.5361095,23.084614,0.0449117
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB4,II-flash/iPTF14flu_early/ALFOSC phase-band : u-,2.0808632,0.014096149,0.102,1.8,u,-,0.98048764,0.019512368,24.547768,0.045041777
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,II/2013fs/ALFOSC phase-band : 6.24B,2.366421,0.02670943,0.002,2.0,6.24,B,0.9553981,0.04460194,24.827335,0.045554742
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB1,Ic-BL/2018gep/DBSP phase-band : -2.74V,0.82007396,0.04100417,0.084,-0.2,-2.74,V,0.9654096,0.03459045,25.017757,0.045904145
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,II/2014G/KAST phase-band : 2.4B,1.8424938,0.035809495,0.0,2.0,2.4,B,0.937416,0.06258395,25.323984,0.046466026
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia-02cx like/2005hk/KAST phase-band : -7.7B,0.71348715,0.005678637,0.09,0.0,-7.7,B,0.9966308,0.0033692159,25.14675,0.04682821
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB4,SLSN-I/Gaia16apd/ALFOSC phase-band : -15.16B,0.4928875,0.21271305,0.11,-1.0,-15.16,B,0.8764042,0.12359578,26.652359,0.048903413
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : -0.39B,0.5520845,0.022261761,0.002,-0.8,-0.39,B,0.9886311,0.011368863,26.72989,0.049226318
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia-02cx like/2012Z/KAST phase-band : -7.64B,0.9989931,0.0073749977,0.102,0.6,-7.64,B,0.9945493,0.005450739,25.588575,0.049303614
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,II-flash/2016bkv_early/FLOYDS-N phase-band : -3.13B,0.33678368,0.07366523,0.138,-2.0,-3.13,B,0.9797668,0.020233223,29.182444,0.05547993
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB3,SLSN-I/iPTF13ajg/X-Shooter phase-band : 15.43R,0.26711908,0.16380742,0.15,-1.8,15.43,R,0.92124593,0.07875409,30.392912,0.05576681
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sa,II-flash/2016bkv_early/FLOYDS-N phase-band : 0.81B,0.42095932,0.0013341286,0.144,-1.8,0.81,B,0.9995788,0.00042122736,30.746284,0.058011856
