# Template No. 1: sn99ee (Ia-norm; +7) ; z= 0.528 +/- 0.005
#redshifted_wavelength[A] flux[arbitraty]
  5158.08105 -0.0287632346
  5165.06934 -0.0292074271
  5172.06641 -0.0297578927
  5179.07324 -0.0302362703
  5186.08936 -0.0304532349
  5193.11523 -0.030268332
  5200.1499 -0.0296412706
  5207.19482 -0.0286551081
  5214.24951 -0.0274988934
  5221.31299 -0.0264075957
  5228.38672 -0.0255709663
  5235.46924 -0.0250322856
  5242.56201 -0.0246060491
  5249.66455 -0.0238408204
  5256.77637 -0.0220439918
  5263.89746 -0.0183710512
  5271.02881 -0.011963035
  5278.16943 -0.0021043364
  5285.32031  0.0116382018
  5292.47998  0.0293284804
  5299.6499  0.0506522097
  5306.82959  0.074990876
  5314.01855  0.101563968
  5321.21777  0.129607037
  5328.42627  0.158542395
  5335.64502  0.188098788
  5342.87305  0.218347549
  5350.11133  0.249642402
  5357.35938  0.282472551
  5364.61719  0.317260832
  5371.88477  0.354154199
  5379.16162  0.392858446
  5386.44922  0.432562113
  5393.74658  0.471978337
  5401.05322  0.509505749
  5408.37061  0.54348743
  5415.69727  0.572520554
  5423.03369  0.595754862
  5430.38086  0.613114536
  5437.73682  0.625388563
  5445.104  0.634153187
  5452.47998  0.641522229
  5459.86719  0.649751186
  5467.26318  0.66075635
  5474.67041  0.675628185
  5482.08643  0.694232345
  5489.51367  0.714982629
  5496.9502  0.734847426
  5504.39697  0.749614239
  5511.854  0.75439167
  5519.3208  0.744281054
  5526.79834  0.715115666
  5534.28516  0.664143085
  5541.78271  0.590531588
  5549.29004  0.49560529
  5556.80811  0.382761598
  5564.33594  0.257077008
  5571.87402  0.12467134
  5579.42236 -0.00806146115
  5586.98096 -0.135219678
  5594.5498 -0.252029687
  5602.12891 -0.355248719
  5609.71826 -0.443286806
  5617.31787 -0.516056836
  5624.92773 -0.574616015
  5632.54785 -0.620694518
  5640.17871 -0.65622282
  5647.81934 -0.682955146
  5655.47021 -0.702247858
  5663.13232 -0.715007603
  5670.8042 -0.721781969
  5678.48633 -0.722929716
  5686.1792 -0.718800306
  5693.88232 -0.709858418
  5701.59619 -0.696720362
  5709.31982 -0.680098891
  5717.0542 -0.660688639
  5724.79932 -0.639038682
  5732.55518 -0.615465522
  5740.3208 -0.590038478
  5748.09717 -0.562648118
  5755.88477 -0.533135295
  5763.68213 -0.501438439
  5771.49023 -0.467707962
  5779.30908 -0.432345957
  5787.13867 -0.395951778
  5794.97852 -0.359184891
  5802.8291 -0.322583199
  5810.69043 -0.286390752
  5818.56201 -0.250451446
  5826.44482 -0.214206308
  5834.33789 -0.176805675
  5842.2417 -0.137313873
  5850.15625 -0.0949590877
  5858.08154 -0.0493669696
  5866.01758 -0.000720031559
  5873.96436  0.0501960963
  5881.92236  0.102066614
  5889.89014  0.153222159
