#wavelength[A] flux[arbitraty]
  4959.55029 -0.000858931511
  4966.26904  0.202945694
  4972.99707 -0.213406652
  4979.73389 -0.265829772
  4986.47998 -0.869745851
  4993.23535  0.390579194
  5000. -0.732213616
  5006.77344 -0.748654962
  5013.55664 -0.497313261
  5020.34863 -0.530131042
  5027.14941 -0.572408199
  5033.95996  0.0127073051
  5040.77979 -0.361161083
  5047.6084 -0.429301828
  5054.44629  0.431098163
  5061.29395 -0.333343804
  5068.15039 -0.161412165
  5075.0166  0.256828487
  5081.8916 -0.84579891
  5088.77637  0.0301086567
  5095.67041 -0.298158765
  5102.57324 -0.124014556
  5109.48584 -0.516189098
  5116.40771 -0.386521906
  5123.33887 -0.11268536
  5130.27979  0.19518137
  5137.22949  0.00984880701
  5144.18896 -0.170090899
  5151.1582  0.148796365
  5158.13672  0.169009134
  5165.12451 -0.588593423
  5172.12158 -0.367901534
  5179.12842 -0.911346614
  5186.14453 -0.514711857
  5193.17041 -0.254026085
  5200.20605 -0.332041323
  5207.25049  0.262743145
  5214.30469  0.0117074624
  5221.36865  0.770530343
  5228.44238  0.220476136
  5235.52539 -0.280165702
  5242.61816 -0.549054265
  5249.72021 -0.744687796
  5256.83203 -0.159551159
  5263.95361 -0.10127347
  5271.08496 -0.00428432645
  5278.22607 -0.211663172
  5285.37646 -0.309810013
  5292.53662 -0.235934049
  5299.70654  0.29117468
  5306.88623 -0.00520717213
  5314.0752 -0.349113077
  5321.27441 -0.250884622
  5328.4834  0.654611349
  5335.70215  0.273007363
  5342.93066 -0.245761201
  5350.16846 -0.735500932
  5357.4165 -0.178413406
  5364.67432 -0.119336396
  5371.94189 -0.0504263379
  5379.21973  0.915249109
  5386.50684  0.292959273
  5393.80371  0.362797886
  5401.11133  0.611454964
  5408.42822  0.413482398
  5415.75488  0.732087076
  5423.0918 -0.0303280447
  5430.43848  0.742528498
  5437.79541  0.986792326
  5445.16211  0.403641105
  5452.53857  0.699704051
  5459.92529  0.851476371
  5467.32178  0.929388344
  5474.729  0.58232218
  5482.14551  0.305578023
  5489.57227  0.646831036
  5497.00928  0.679717898
  5504.45605  0.302572578
  5511.9126  1.12752593
  5519.37988  0.787018418
  5526.85742 -0.0328364633
  5534.34424  0.125920907
  5541.8418  0.00956919137
  5549.34961  0.428777486
  5556.86768 -0.0320158564
  5564.396 -0.154147238
  5571.93408 -0.531134963
  5579.48242  0.000369199726
  5587.04102  0.435279876
  5594.60938 -0.295697987
  5602.18848  0.0147302616
  5609.77832 -0.413680434
  5617.37793 -0.340610623
  5624.98828 -0.101046585
  5632.60791 -0.50429523
  5640.23828 -0.451955497
  5647.87988 -0.765564263
  5655.53076 -0.605977535
  5663.19287 -0.209833264
  5670.86475 -0.259668589
  5678.54688 -0.00282241148
  5686.24023 -0.396020204
  5693.94287 -0.71467489
  5701.65674 -0.759734452
  5709.38086 -0.692725718
  5717.11523 -0.700903654
  5724.86084 -0.489122272
  5732.61621 -0.537502229
  5740.38281 -0.71620059
  5748.15918 -0.358591795
  5755.9458 -0.180462569
  5763.74414 -0.270033419
  5771.55225 -0.141274571
  5779.37061 -0.350534141
  5787.2002 -0.456214488
