# Template No. 1: sn2003jo x sn99ee (Ia-norm; +7)
#redshift correlation
  0.284607887 -0.168025509
  0.286348224 -0.143545225
  0.288090825 -0.117471717
  0.28983593 -0.0897776484
  0.2915833 -0.060693685
  0.293332934 -0.0306953639
  0.295085073 -0.000436069793
  0.296839595  0.0293598734
  0.298596382  0.0580177866
  0.300355673  0.0850199908
  0.302117229  0.110075168
  0.303881288  0.133135781
  0.305647612  0.154362395
  0.307416439  0.174045235
  0.309187651  0.192503497
  0.310961246  0.209986687
  0.312737226  0.226601601
  0.314515591  0.242280439
  0.316296339  0.256795198
  0.318079591  0.269812614
  0.319865227  0.280974835
  0.321653247  0.289985329
  0.32344377  0.296680033
  0.325236678  0.301066786
  0.32703197  0.303326398
  0.328829765  0.303775668
  0.330629945  0.302802473
  0.332432508  0.300787389
  0.334237576  0.298030525
  0.336045146  0.294697464
  0.337855101  0.290795982
  0.339667559  0.28618598
  0.341482401  0.280620158
  0.343299747  0.27380538
  0.345119476  0.265472323
  0.346941829  0.255439013
  0.348766565  0.243657485
  0.350593686  0.230234116
  0.352423429  0.215423033
  0.354255557  0.199593291
  0.356090188  0.183178663
  0.357927322  0.166619837
  0.35976696  0.150309935
  0.361608982  0.134554073
  0.363453627  0.119549386
  0.365300775  0.105387747
  0.367150307  0.0920793638
  0.369002461  0.0795897171
  0.370857  0.0678807124
  0.372714162  0.0569450781
  0.374573827  0.0468258075
  0.376435995  0.0376150683
  0.378300667  0.0294327922
  0.380167842  0.022389302
  0.38203764  0.0165421292
  0.383909941  0.0118569694
  0.385784745  0.00818390213
  0.387662053  0.00525540346
  0.389541984  0.00270799524
  0.391424417  0.0001238884
  0.393309355 -0.00291644246
  0.395196915 -0.00678336853
  0.397086978 -0.0117585743
  0.398979664 -0.0180167463
  0.400874853 -0.0256305244
  0.402772665 -0.0345963016
  0.4046731 -0.0448716097
  0.406576037 -0.0564130694
  0.408481479 -0.0692036077
  0.410389662 -0.0832610801
  0.412300348 -0.0986259431
  0.414213538 -0.115331434
  0.41612947 -0.133366778
  0.418047905 -0.152644008
  0.419968963 -0.172980756
  0.421892643 -0.194105566
  0.423818827 -0.215687037
  0.425747752 -0.237380594
  0.427679181 -0.25888145
  0.429613352 -0.279968977
  0.431550026 -0.300530702
  0.433489442 -0.320557743
  0.435431361 -0.340110421
  0.437376022 -0.359262884
  0.439323187 -0.378038913
  0.441273093 -0.396357447
  0.443225622 -0.414001346
  0.445180774 -0.430619568
  0.447138667 -0.445764065
  0.449099064 -0.458953291
  0.451062202 -0.469746411
  0.453027964 -0.477809668
  0.454996467 -0.482956976
  0.456967592 -0.485152692
  0.45894134 -0.484473944
  0.46091783 -0.481041193
  0.462896943 -0.474932998
  0.464878798 -0.466108263
  0.466863275 -0.454356909
  0.468850493 -0.439294964
  0.470840335 -0.420409888
  0.472832918 -0.397148967
  0.474828124 -0.369034231
  0.476826191 -0.335776597
  0.47882688 -0.297365367
  0.480830193 -0.254107386
  0.482836366 -0.206606895
  0.484845161 -0.155686289
  0.486856699 -0.102263674
  0.488870978 -0.0472112745
  0.490888  0.00877194572
  0.492907763  0.0652462244
  0.494930148  0.122055151
  0.496955395  0.179281205
  0.498983383  0.237139732
  0.501014113  0.295834154
  0.503047466  0.355402172
  0.50508368  0.415587604
  0.507122755  0.475762844
  0.509164453  0.534922183
  0.511208892  0.591747165
  0.513256192  0.644734144
  0.515306234  0.692357957
  0.517359018  0.733244121
  0.519414663  0.766317308
  0.52147305  0.790903568
  0.523534179  0.806769967
  0.525598168  0.8141011
  0.5276649  0.813421905
  0.529734492  0.805486321
  0.531806827  0.791152537
  0.533882022  0.771267951
  0.535959959  0.746580303
  0.538040757  0.717684746
  0.540124416  0.685008943
  0.542210817  0.648829162
  0.544300079  0.609311461
  0.546392202  0.566562414
  0.548487067  0.5206815
  0.550584912  0.471807212
  0.552685499  0.420150399
  0.554788947  0.366013169
  0.556895256  0.309796125
  0.559004426  0.251991391
  0.561116457  0.193167448
  0.563231349  0.133944258
  0.565348983  0.0749640837
  0.567469597  0.0168593042
  0.569593072 -0.0397794954
  0.571719527 -0.0944320187
  0.573848724 -0.146668017
  0.575980902 -0.196157053
  0.578115821 -0.242666557
  0.58025372 -0.286049753
  0.5823946 -0.326225281
  0.584538221 -0.36315307
  0.586684823 -0.396813095
  0.588834405 -0.427190095
  0.590986848 -0.454266429
  0.593142152 -0.478022933
  0.595300436 -0.498446792
  0.597461581 -0.51554054
  0.599625707 -0.529328465
  0.601792812 -0.53985703
  0.603962779 -0.54718709
  0.606135607 -0.551380813
  0.608311534 -0.552485943
  0.610490322 -0.550521612
  0.612672091 -0.545473397
  0.614856839 -0.537298739
  0.617044449 -0.525944889
  0.619235158 -0.511377037
  0.621428728 -0.493612498
  0.623625278 -0.472753733
  0.625824928 -0.449014187
  0.628027439 -0.422730863
  0.63023293 -0.394361496
  0.632441401 -0.3644647
  0.634652972 -0.333666384
